"Column(header='Symbol', footer='', header_style='', footer_style='', style='', justify='left', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=0, _cells=['ETH', 'ETH', 'ETH', 'ADA', 'ADA', 'ADA', 'SOL', 'SOL', 'SOL', 'BNB', 'BNB', 'BNB', 'TRX', 'TRX', 'TRX', 'SUI', 'SUI', 'SUI', 'APT', 'APT', 'APT', 'HYPE', 'HYPE', 'HYPE'])","Column(header='Exchange', footer='', header_style='', footer_style='', style='', justify='left', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=1, _cells=['Binance', 'Coinbase', 'Kraken', 'Binance', 'Coinbase', 'Kraken', 'Binance', 'Coinbase', 'Kraken', 'Binance', 'Coinbase', 'Kraken', 'Binance', 'Coinbase', 'Kraken', 'Binance', 'Coinbase', 'Kraken', 'Binance', 'Coinbase', 'Kraken', 'Binance', 'Coinbase', 'Kraken'])","Column(header='Staking %', footer='', header_style='', footer_style='', style='', justify='right', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=2, _cells=['[red]2.83[/red]', '[red]2.83[/red]', '[red]2.83[/red]', '[red]-14.59[/red]', '[red]-14.59[/red]', '[red]-14.59[/red]', '[green]108477692995.46[/green]', '[green]108477692995.46[/green]', '[green]108477692995.46[/green]', '[red]-5955731.68[/red]', '[red]-5955731.68[/red]', '[red]-5955731.68[/red]', '[red]27.00[/red]', '[red]27.00[/red]', '[red]27.00[/red]', '[red]121.00[/red]', '[red]121.00[/red]', '[red]121.00[/red]', '[red]6.88[/red]', '[red]6.88[/red]', '[red]6.88[/red]', '[red]24.00[/red]', '[red]24.00[/red]', '[red]24.00[/red]'])","Column(header='Open', footer='', header_style='', footer_style='', style='', justify='right', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=3, _cells=['4,391.83', '4,392.11', '4,391.08', '0.8112', '0.8109', '0.8106', '200.62', '200.76', '200.59', '857.66', '-', '858.32', '0.341', '-', '-', '3.2494', '-', '-', '4.254', '4.26', '-', '-', '-', '-'])","Column(header='High', footer='', header_style='', footer_style='', style='', justify='right', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=4, _cells=['4,484.63', '4,483.61', '4,480.76', '0.8429', '0.8422', '0.842', '204.42', '204.35', '204.15', '869.15', '-', '867.82', '0.341', '-', '-', '3.3066', '-', '-', '4.333', '4.29', '-', '-', '-', '-'])","Column(header='Low', footer='', header_style='', footer_style='', style='', justify='right', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=5, _cells=['4,358.67', '4,360.17', '4,363.93', '0.7944', '0.7945', '0.7947', '196.03', '196.04', '196.38', '849.37', '-', '849.03', '0.3367', '-', '-', '3.1458', '-', '-', '4.144', '4.16', '-', '-', '-', '-'])","Column(header='Close', footer='', header_style='', footer_style='', style='', justify='right', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=6, _cells=['4,481.42', '4,481.5', '4,480.76', '0.8423', '0.8407', '0.842', '204.22', '204.08', '203.95', '867.22', '-', '867.82', '0.3409', '-', '-', '3.3', '-', '-', '4.326', '4.29', '-', '-', '-', '-'])","Column(header='Trend', footer='', header_style='', footer_style='', style='', justify='right', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=7, _cells=['↑', '↑', '↑', '↑', '↑', '↑', '↑', '↑', '↑', '↑', '-', '↑', '↑', '-', '-', '↓', '-', '-', '↓', '↓', '-', '-', '-', '-'])","Column(header='Volume', footer='', header_style='', footer_style='', style='', justify='right', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=8, _cells=['184,345.5333', '2,394.19', '292.49', '79,343,549.8', '242,224.54', '704,807.85', '1,849,629.699', '14,099.48', '5,295.07', '85,280.758', '-', '45.76', '157,092,040.2', '-', '-', '16,609,550.7', '-', '-', '1,685,245.19', '1,828.73', '-', '-', '-', '-'])","Column(header='Mid', footer='', header_style='', footer_style='', style='', justify='right', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=9, _cells=['4,421.65', '4,421.889999999999', '4,422.345', '0.81865', '0.8183499999999999', '0.8183499999999999', '200.225', '200.195', '200.265', '859.26', '-', '858.425', '0.33885', '-', '-', '3.2262', '-', '-', '4.2385', '4.225', '-', '-', '-', '-'])","Column(header='WhaleHeat', footer='', header_style='', footer_style='', style='', justify='left', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=10, _cells=['[green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][orange]█[/orange][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '--------------------', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '--------------------', '--------------------', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '--------------------', '--------------------', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green]', '--------------------', '--------------------', '--------------------', '--------------------'])","Column(header='Vol ⚡', footer='', header_style='', footer_style='', style='', justify='right', vertical='top', overflow='ellipsis', width=None, min_width=None, max_width=None, ratio=None, no_wrap=False, highlight=False, _index=11, _cells=['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-'])"
ETH,Binance,[red]2.83[/red],"4,391.83","4,484.63","4,358.67","4,481.42",↑,"184,345.5333","4,421.65",[green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ETH,Coinbase,[red]2.83[/red],"4,392.11","4,483.61","4,360.17","4,481.5",↑,"2,394.19","4,421.889999999999",[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ETH,Kraken,[red]2.83[/red],"4,391.08","4,480.76","4,363.93","4,480.76",↑,292.49,"4,422.345",[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ADA,Binance,[red]-14.59[/red],0.8112,0.8429,0.7944,0.8423,↑,"79,343,549.8",0.81865,[green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ADA,Coinbase,[red]-14.59[/red],0.8109,0.8422,0.7945,0.8407,↑,"242,224.54",0.8183499999999999,[green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ADA,Kraken,[red]-14.59[/red],0.8106,0.842,0.7947,0.842,↑,"704,807.85",0.8183499999999999,[green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
SOL,Binance,[green]108477692995.46[/green],200.62,204.42,196.03,204.22,↑,"1,849,629.699",200.225,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
SOL,Coinbase,[green]108477692995.46[/green],200.76,204.35,196.04,204.08,↑,"14,099.48",200.195,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][orange]█[/orange][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
SOL,Kraken,[green]108477692995.46[/green],200.59,204.15,196.38,203.95,↑,"5,295.07",200.265,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
BNB,Binance,[red]-5955731.68[/red],857.66,869.15,849.37,867.22,↑,"85,280.758",859.26,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
BNB,Coinbase,[red]-5955731.68[/red],-,-,-,-,-,-,-,--------------------,-
BNB,Kraken,[red]-5955731.68[/red],858.32,867.82,849.03,867.82,↑,45.76,858.425,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
TRX,Binance,[red]27.00[/red],0.341,0.341,0.3367,0.3409,↑,"157,092,040.2",0.33885,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
TRX,Coinbase,[red]27.00[/red],-,-,-,-,-,-,-,--------------------,-
TRX,Kraken,[red]27.00[/red],-,-,-,-,-,-,-,--------------------,-
SUI,Binance,[red]121.00[/red],3.2494,3.3066,3.1458,3.3,↓,"16,609,550.7",3.2262,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
SUI,Coinbase,[red]121.00[/red],-,-,-,-,-,-,-,--------------------,-
SUI,Kraken,[red]121.00[/red],-,-,-,-,-,-,-,--------------------,-
APT,Binance,[red]6.88[/red],4.254,4.333,4.144,4.326,↓,"1,685,245.19",4.2385,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
APT,Coinbase,[red]6.88[/red],4.26,4.29,4.16,4.29,↓,"1,828.73",4.225,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
APT,Kraken,[red]6.88[/red],-,-,-,-,-,-,-,--------------------,-
HYPE,Binance,[red]24.00[/red],-,-,-,-,-,-,-,--------------------,-
HYPE,Coinbase,[red]24.00[/red],-,-,-,-,-,-,-,--------------------,-
HYPE,Kraken,[red]24.00[/red],-,-,-,-,-,-,-,--------------------,-
