Symbol,Exchange,Staking %,Open,High,Low,Close,Trend,Volume,Mid,WhaleActivity,Vol ⚡
ETH,Binance,[red]2.83[/red],"4,391.83","4,437.69","4,358.67","4,431.14",↑,"170,158.8483","4,398.18",[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
ETH,Coinbase,[red]2.83[/red],"4,392.11","4,437.15","4,360.17","4,431.14",↑,"2,251.48","4,398.66",[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
ETH,Kraken,[red]2.83[/red],"4,391.08","4,433.06","4,363.93","4,430.72",↑,238.31,"4,398.495000000001",[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
ADA,Binance,[red]-14.59[/red],0.8112,0.8401,0.7944,0.8351,↑,"74,324,901.1",0.81725,[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
ADA,Coinbase,[red]-14.59[/red],0.8109,0.8401,0.7945,0.8347,↑,"239,410.03",0.8172999999999999,[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
ADA,Kraken,[red]-14.59[/red],0.8106,0.8374,0.7947,0.8344,↑,"643,648.19",0.8160499999999999,[yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
SOL,Binance,[green]108477692995.46[/green],200.62,202.49,196.03,201.54,↓,"1,759,174.678",199.26,[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
SOL,Coinbase,[green]108477692995.46[/green],200.76,202.45,196.04,201.63,↓,"13,571.87",199.245,[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][orange]🐋🐋[/orange][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
SOL,Kraken,[green]108477692995.46[/green],200.59,202.29,196.38,201.63,↓,"3,976.53",199.33499999999998,[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
BNB,Binance,[red]-5955731.68[/red],857.66,867.0,849.37,866.55,↑,"79,081.347",858.185,[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
BNB,Coinbase,[red]-5955731.68[/red],-,-,-,-,-,-,-,--------------------,-
BNB,Kraken,[red]-5955731.68[/red],858.32,866.88,849.03,864.08,↑,45.4,857.9549999999999,[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][red]🐋🐋🐋[/red][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
TRX,Binance,[red]27.00[/red],0.341,0.341,0.3367,0.3394,↑,"145,798,356.8",0.33885,[yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][orange]🐋🐋[/orange][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow][yellow]🐋[/yellow],-
TRX,Coinbase,[red]27.00[/red],-,-,-,-,-,-,-,--------------------,-
TRX,Kraken,[red]27.00[/red],-,-,-,-,-,-,-,--------------------,-
